百家号名称	百家号作者ID	手百ID	UserID	作者状态	是否原创	机构名称	主页	机构代码	
萌人宝宝	1569060839411870	1569060843853493	619395671	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01569060843853493	91370303MA3C7589XY	
格调厨房	1569052613212527	1569052617988453	3092440684	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01569052617988453	91370303MA3C7589XY	
萌人旅行	1569264989493963	1569264995159312	523348775	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01569264995159312	91370303MA3C7589XY	
萌人厨房	1568986266009819	1568986271867241	3090585064	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01568986271867241	91370303MA3C7589XY	
萌人娱乐	1568993320565866	1568993325241313	884597885	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01568993325241313	91370303MA3C7589XY	
萌人汽车	1568994725012090	1568994730218553	3090853947	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01568994730218553	91370303MA3C7589XY	
宝宝早餐	1569264437173876	1569264441601569	259717489	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01569264441601569	91370303MA3C7589XY	
萌人美妆	1568886231388892	1568886237621476	3087941467	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01568886237621476	91370303MA3C7589XY	
格调娱乐	1568992952136826	1568992956931500	3090666177	审核通过	是	淄博萌人信息科技有限公司	http://baijiahao.baidu.com/u?app_id=01568992956931500	91370303MA3C7589XY	
A电竞	1559361504428918	1559361504510631	2908975041	审核通过	是	重庆游渝文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01559361504510631	91500000345983786U	
电玩巴士	1571250147784608	1571250152539454	2753865855	审核通过	是	重庆星游传媒有限公司	http://baijiahao.baidu.com/u?app_id=01571250152539454	915000003050347709	
52PK游戏网	1553044975129736	1553044975220717	60051290	审核通过	是	重庆天极网络有限公司合肥分公司	http://baijiahao.baidu.com/u?app_id=01553044975220717	913401006694833823	
友戏	1539199834046562	1539199834046562	1692361856	审核通过	是	中投新视野科技（北京）股份有限公司	http://baijiahao.baidu.com/u?app_id=01539199834046562	91110105397365154D	
科普中国	1548503945263194	1548503945316163	1209237471	审核通过	是	中科数创（北京）数字传媒有限公司	http://baijiahao.baidu.com/u?app_id=01548503945316163	91110108MA001JFY81	
食姐	1561051625141706	1561051625181288	2936363594	审核通过	是	长沙圆点电子商务有限公司	http://baijiahao.baidu.com/u?app_id=01561051625181288	91430104MA4L6UDL2F	
